"tag_key","tag_value","language","label"
"addr:country","DE","he","גרמניה"
"addr:country","DE","hi","जर्मनी"
"addr:country","DE","hr","njemačka"
"addr:country","DE","hu","németország"
"addr:country","DE","id","jerman"
"addr:country","DE","it","germania"
"addr:country","DE","ja","ドイツ"
"addr:country","DE","kn","ಜರ್ಮನಿ"
"addr:country","DE","ko","독일"
"addr:country","DE","lt","vokietija"
"addr:country","DE","lv","vācija"
"addr:country","DE","ml","ജർമ്മനി"
"addr:country","DE","mr","जर्मनी"
"addr:country","DE","ms","jerman"
"addr:country","DE","nb","tyskland"
"addr:country","DE","nl","duitsland"
"addr:country","DE","pl","niemcy"
"addr:country","DE","pt","alemanha"
"addr:country","DE","pt-br","alemanha"
"addr:country","DE","ro","germania"
"addr:country","DE","ru","германия"
"addr:country","DE","sk","nemecko"
"addr:country","DE","sl","nemčija"
"addr:country","DE","sv","tyskland"
"addr:country","DE","ta","செருமனி"
"addr:country","DE","th","ประเทศเยอรมนี"
"addr:country","DE","tr","almanya"
"addr:country","DE","uk","німеччина"
"addr:country","DE","ur","جرمنی"
"addr:country","DE","vi","đức"
"addr:country","DE","zh","德國"
"addr:country","DE","zh-cn","德国"
"addr:country","DE","zh-hk","德國"
"addr:country","DE","zh-tw","德國"
"addr:country","EG","af","egipte"
"addr:country","EG","ar","مصر"
"addr:country","EG","be","егіпет"
"addr:country","EG","bg","египет"
"addr:country","EG","ca","egipte"
"addr:country","EG","cs","egypt"
"addr:country","EG","da","egypten"
"addr:country","EG","de","ägypten"
"addr:country","EG","de-at","ägypten"
"addr:country","EG","de-ch","ägypten"
"addr:country","EG","el","αίγυπτος"
"addr:country","EG","en","egypt"
"addr:country","EG","en-ca","egypt"
"addr:country","EG","en-gb","egypt"
"addr:country","EG","es","egipto"
"addr:country","EG","et","egiptus"
"addr:country","EG","fa","مصر"
"addr:country","EG","fi","egypti"
"addr:country","EG","fr","égypte"
"addr:country","EG","he","מצרים"
"addr:country","EG","hi","मिस्र"
"addr:country","EG","hr","egipat"
"addr:country","EG","hu","egyiptom"
"addr:country","EG","id","mesir"
"addr:country","EG","it","egitto"
"addr:country","EG","ja","エジプト"
"addr:country","EG","kn","ಈಜಿಪ್ಟ್"
"addr:country","EG","ko","이집트"
"addr:country","EG","lt","egiptas"
"addr:country","EG","lv","ēģipte"
"addr:country","EG","ml","ഈജിപ്റ്റ്"
"addr:country","EG","mr","इजिप्त"
"addr:country","EG","ms","mesir"
"addr:country","EG","nb","egypt"
"addr:country","EG","nl","egypte"
"addr:country","EG","pl","egipt"
"addr:country","EG","pt","egito"
"addr:country","EG","pt-br","egito"
"addr:country","EG","ro","egipt"
"addr:country","EG","ru","египет"
"addr:country","EG","sk","egypt"
"addr:country","EG","sl","egipt"
"addr:country","EG","sv","egypten"
"addr:country","EG","ta","எகிப்து"
"addr:country","EG","th","ประเทศอียิปต์"
"addr:country","EG","tr","mısır"
"addr:country","EG","uk","єгипет"
"addr:country","EG","ur","مصر"
"addr:country","EG","vi","ai cập"
"addr:country","EG","zh","埃及"
"addr:country","EG","zh-cn","埃及"
"addr:country","EG","zh-hk","埃及"
"addr:country","EG","zh-tw","埃及"
"addr:state","NY","af","new york"
"addr:state","NY","ar","نيويورك"
"addr:state","NY","be","нью-ёрк"
"addr:state","NY","bg","ню йорк"
"addr:state","NY","ca","nova york"
"addr:state","NY","cs","new york"
"addr:state","NY","da","new york"
"addr:state","NY","de","new york"
"addr:state","NY","de-ch","new york"
"addr:state","NY","el","νέα υόρκη"
"addr:state","NY","en","new york"
"addr:state","NY","en-ca","new york"
"addr:state","NY","en-gb","new york"
"addr:state","NY","en-us","new york"
"addr:state","NY","es","nueva york"
"addr:state","NY","et","new yorgi osariik"
"addr:state","NY","fa","نیویورک"
"addr:state","NY","fi","new york"
"addr:state","NY","fr","new york"
"addr:state","NY","he","ניו יורק"
"addr:state","NY","hi","न्यूयॉर्क"
"addr:state","NY","hr","new york"
"addr:state","NY","hu","new york"
"addr:state","NY","id","new york"
"addr:state","NY","it","new york"
"addr:state","NY","ja","ニューヨーク州"
"addr:state","NY","kn","ನ್ಯೂ ಯಾರ್ಕ್"
"addr:state","NY","ko","뉴욕주"
"addr:state","NY","lt","niujorko valstija"
"addr:state","NY","lv","ņujorka"
"addr:state","NY","ml","ന്യൂയോർക്ക്"
"addr:state","NY","mr","न्यू यॉर्क"
"addr:state","NY","ms","new york"
"addr:state","NY","nb","new york"
"addr:state","NY","nl","new york"
"addr:state","NY","pl","nowy jork"
"addr:state","NY","pt","nova iorque"
"addr:state","NY","pt-br","nova iorque"
"addr:state","NY","ro","new york"
"addr:state","NY","ru","нью-йорк"
"addr:state","NY","sk","new york"
"addr:state","NY","sl","new york"
"addr:state","NY","sv","new york"
"addr:state","NY","ta","நியூ யோர்க் மாநிலம்"
"addr:state","NY","th","รัฐนิวยอร์ก"
"addr:state","NY","tr","new york"
"addr:state","NY","uk","нью-йорк"
"addr:state","NY","ur","نیویارک"
"addr:state","NY","vi","new york"
"addr:state","NY","zh","纽约州"
"addr:state","NY","zh-cn","纽约州"
"addr:state","NY","zh-hk","紐約州"
"addr:state","NY","zh-tw","紐約州"
"admin_level","2","af","land"
"admin_level","2","ar","دولة"
"admin_level","2","be","краіна"
"admin_level","2","bg","страна"
"admin_level","2","ca","país"
"admin_level","2","cs","státní útvar"
"admin_level","2","da","land"
"admin_level","2","de","land"
"admin_level","2","el","χώρα"
"admin_level","2","en","country"
"admin_level","2","en-ca","country"
"admin_level","2","en-gb","country"
"admin_level","2","es","país"
"admin_level","2","et","maa"
"admin_level","2","fa","کشور"
"admin_level","2","fi","maa"
"admin_level","2","fr","pays"
"admin_level","2","he","ארץ"
"admin_level","2","hi","देश"
"admin_level","2","hr","zemlja (država)"
"admin_level","2","hu","ország"
"admin_level","2","id","negara"
"admin_level","2","it","paese"
"admin_level","2","ja","国"
"admin_level","2","kn","ದೇಶ"
"admin_level","2","ko","나라"
"admin_level","2","lt","šalis"
"admin_level","2","lv","zeme"
"admin_level","2","ml","ദേശം"
"admin_level","2","mr","देश"
"admin_level","2","ms","negara"
"admin_level","2","nb","land"
"admin_level","2","nl","land"
"admin_level","2","pl","kraj"
"admin_level","2","pt","país"
"admin_level","2","pt-br","país"
"admin_level","2","ro","țară"
"admin_level","2","ru","страна"
"admin_level","2","sk","krajina"
"admin_level","2","sl","država"
"admin_level","2","sv","land"
"admin_level","2","ta","நாடு"
"admin_level","2","th","ประเทศ"
"admin_level","2","tr","ülke"
"admin_level","2","uk","країна"
"admin_level","2","ur","ملک"
"admin_level","2","vi","quốc gia"
"admin_level","2","zh","國家"
"admin_level","2","zh-cn","国家"
"admin_level","2","zh-hk","國家"
"admin_level","2","zh-tw","國家"
"admin_level","4","ar","المستوى الأول من التقسيم الإداري"
"admin_level","4","be","адміністрацыйная адзінка першага ўзроўню"
"admin_level","4","ca","subdivisió administrativa de primer nivell"
"admin_level","4","cs","nejvyšší administrativní jednotka"
"admin_level","4","da","administrativ enhed på første niveau"
"admin_level","4","de","verwaltungseinheit erster ebene"
"admin_level","4","el","πρώτου επιπέδου διοικητική διαίρεση"
"admin_level","4","en","first-level administrative division"
"admin_level","4","en-ca","first-level administrative division"
"admin_level","4","en-gb","first-level administrative division"
"admin_level","4","en-us","first-level administrative division"
"admin_level","4","es","división administrativa de primer nivel"
"admin_level","4","et","1. järgu haldusüksus"
"admin_level","4","fi","maan ensimmäisen tason hallinnollinen osa-alue"
"admin_level","4","fr","division administrative de premier niveau"
"admin_level","4","he","יחידת מנהל אזורי מרמה ראשונה"
"admin_level","4","hu","első szintű közigazgatási egység"
"admin_level","4","id","daerah tingkat i"
"admin_level","4","it","divisione amministrativa di primo livello"
"admin_level","4","ja","第一級行政区画"
"admin_level","4","ko","최상위 행정 구역"
"admin_level","4","lv","valsts pirmā līmeņa administratīvais iedalījums"
"admin_level","4","ms","bahagian pentadbiran peringkat pertama"
"admin_level","4","nb","administrativ enhet på første nivå"
"admin_level","4","nl","bestuurlijke indeling op het eerste niveau"
"admin_level","4","pl","pierwszy poziom podziału administracyjnego kraju"
"admin_level","4","pt-br","divisão administrativa de primeiro nível"
"admin_level","4","ro","diviziune administrativă de rangul întâi"
"admin_level","4","ru","административная единица первого уровня"
"admin_level","4","sl","upravna entiteta države prvega reda"
"admin_level","4","sv","administrativ indelning på första nivån i ett land"
"admin_level","4","tr","birinci düzey ülke idari bölümü"
"admin_level","4","uk","адміністративна одиниця країни першого рівня"
"admin_level","4","vi","đơn vị hành chính cấp 1"
"admin_level","4","zh","一级行政区"
"admin_level","4","zh-cn","一级行政区"
"admin_level","4","zh-hk","一級行政區"
"admin_level","4","zh-tw","一級行政區"
"admin_level","6","ca","comtat no metropolità"
"admin_level","6","cs","anglické nemetropolitní hrabství"
"admin_level","6","de","nicht-metropolen-landkreis"
"admin_level","6","el","μη-μητροπολιτική κομητεία"
"admin_level","6","en","non-metropolitan county"
"admin_level","6","en-gb","non-metropolitan county"
"admin_level","6","es","condado no metropolitano"
"admin_level","6","et","mittelinnkrahvkond"
"admin_level","6","fi","shire-kreivikunta"
"admin_level","6","fr","comté non métropolitain"
"admin_level","6","he","מחוז לא-מטרופוליטני"
"admin_level","6","hr","nemetropolitanske grofovije"
"admin_level","6","hu","anglia shire megyéi"
"admin_level","6","it","contea non metropolitana"
"admin_level","6","ja","シャイア・カウンティ"
"admin_level","6","ko","비도시주"
"admin_level","6","lv","anglijas nemetropoles grāfistes"
"admin_level","6","pl","hrabstwo niemetropolitalne"
"admin_level","6","pt","condado não-metropolitano"
"admin_level","6","ro","comitat nemetropolitan"
"admin_level","6","ru","неметропольное графство"
"admin_level","6","sk","nemetropolitné grófstvo"
"admin_level","6","sl","nemetropolitanska grofija"
"admin_level","6","sv","grevskap"
"admin_level","6","th","เทศมณฑลที่ไม่ใช่มหานคร"
"admin_level","6","tr","metropol olmayan şehir"
"admin_level","6","uk","неметропольне графство в англії"
"admin_level","6","ur","غیر میٹروپولیٹن کاؤنٹی"
"admin_level","6","zh","非都市郡"
"admin_level","6","ar","تعلقة وتحصيل"
"admin_level","6","be","мандалам"
"admin_level","6","ca","tehsil"
"admin_level","6","da","tehsil"
"admin_level","6","de","tehsil"
"admin_level","6","en","tehsil"
"admin_level","6","es","tehsil"
"admin_level","6","fa","تحصیل"
"admin_level","6","fr","tehsil"
"admin_level","6","hi","तहसील"
"admin_level","6","it","tehsil"
"admin_level","6","ja","テシル"
"admin_level","6","kn","ತಾಲ್ಲೂಕು"
"admin_level","6","ml","താലൂക്ക്"
"admin_level","6","mr","तालुका"
"admin_level","6","ms","tehsil"
"admin_level","6","nb","taluk"
"admin_level","6","nl","tehsil"
"admin_level","6","pl","taluk"
"admin_level","6","pt","tehsil"
"admin_level","6","ru","техсил"
"admin_level","6","sl","tehsil"
"admin_level","6","sv","tehsil"
"admin_level","6","ta","வட்டம்"
"admin_level","6","uk","техсіл"
"admin_level","6","ur","تحصیل"
"admin_level","6","vi","tehsil"
"admin_level","6","zh","乡"
"admin_level","6","zh-cn","次区 (南亚)"
"admin_level","6","zh-hk","鄉"
"advertising","billboard","ar","لوحة إعلانية"
"advertising","billboard","be","рэкламны шчыт"
"advertising","billboard","bg","билборд"
"advertising","billboard","ca","tanca publicitària"
"advertising","billboard","cs","billboard"
"advertising","billboard","de","plakatwand"
"advertising","billboard","el","διαφημιστική πινακίδα"
"advertising","billboard","en","billboard"
"advertising","billboard","es","valla publicitaria"
"advertising","billboard","fa","بیلبورد"
"advertising","billboard","fi","mainostaulu"
"advertising","billboard","fr","panneau publicitaire"
"advertising","billboard","he","שלט חוצות"
"advertising","billboard","id","papan reklame"
"advertising","billboard","it","poster"
"advertising","billboard","ja","看板"
"advertising","billboard","ko","간판"
"advertising","billboard","lt","plakatas"
"advertising","billboard","lv","ziņojumu dēlis"
"advertising","billboard","ms","papan iklan"
"advertising","billboard","nl","reclamebord"
"advertising","billboard","pl","billboard"
"advertising","billboard","pt","outdoor"
"advertising","billboard","pt-br","outdoor"
"advertising","billboard","ru","рекламный щит"
"advertising","billboard","sk","bilbord"
"advertising","billboard","sv","annonstavla"
"advertising","billboard","ta","சுவரணை விளம்பரப் பலகை"
"advertising","billboard","th","ป้ายโฆษณา"
"advertising","billboard","tr","reklam panosu"
"advertising","billboard","uk","білборд"
"advertising","billboard","zh","看板"
"advertising","billboard","zh-hk","看板"
"advertising","column","ca","columna publicitària"
"advertising","column","cs","plakátovací sloup"
"advertising","column","da","plakatsøjle"
"advertising","column","de","litfaßsäule"
"advertising","column","de-ch","litfasssäule"
"advertising","column","en","advertising column"
"advertising","column","en-ca","advertising column"
"advertising","column","en-gb","advertising column"
"advertising","column","en-us","advertising column"
"advertising","column","es","columna publicitaria"
"advertising","column","fa","ستون تبلیغات"
"advertising","column","fr","colonne morris"
"advertising","column","he","עמוד פרסום"
"advertising","column","hu","hirdetőoszlop"
"advertising","column","it","colonna pubblicitaria"
"advertising","column","ja","リトファスゾイレ"
"advertising","column","nb","plakatsøyle"
"advertising","column","nl","aanplakzuil"
"advertising","column","pl","słup ogłoszeniowy"
"advertising","column","ru","цилиндрическая афиша"
"advertising","column","sv","affischpelare"
"advertising","column","uk","колона морріса"
"advertising","column","vi","cột morris"
"advertising","column","zh","广告柱"
"advertising","column","zh-cn","广告柱"
"advertising","poster_box","ca","mobiliari urbà com a punt d'informació"
"advertising","poster_box","de","city-light-poster"
"advertising","poster_box","en","poster box"
"advertising","poster_box","es","mobiliario urbano como punto de información"
"advertising","poster_box","ja","電飾看板"
"advertising","poster_box","pl","citylight"
"advertising","poster_box","ru","сити-формат"
"advertising","poster_box","sk","citylight"
"advertising","poster_box","uk","сітілайт"
"aerialway","cable_car","ar","جمازة جوية"
"aerialway","cable_car","be","лінная дарога"
"aerialway","cable_car","bg","лифт"
"aerialway","cable_car","ca","telefèric"
"aerialway","cable_car","cs","kabinová lanovka"
"aerialway","cable_car","da","kabinebane"
"aerialway","cable_car","de","pendelseilbahn"
"aerialway","cable_car","el","τελεφερίκ"
"aerialway","cable_car","en","aerial tramway"
"aerialway","cable_car","es","teleférico"
"aerialway","cable_car","fi","kabiinihissi"
"aerialway","cable_car","fr","téléphérique"
"aerialway","cable_car","he","רכבל"
"aerialway","cable_car","hi","आकाशीय रज्जुमार्ग"
"aerialway","cable_car","hu","drótkötélpályás felvonó"
"aerialway","cable_car","id","kereta gantung"
"aerialway","cable_car","it","funivia a va' e vieni"
"aerialway","cable_car","ja","エリアルトラム"
"aerialway","cable_car","kn","ಅಂತರಿಕ್ಷೀಯ ಟ್ರಾಂ ವೇ"
"aerialway","cable_car","ko","삭도"
"aerialway","cable_car","nb","taubane"
"aerialway","cable_car","nl","cabinebaan"
"aerialway","cable_car","pl","kolej kabinowa"
"aerialway","cable_car","pt","teleférico"
"aerialway","cable_car","ro","telecabină"
"aerialway","cable_car","ru","воздушный трамвай"
"aerialway","cable_car","sl","zračni tramvaj"
"aerialway","cable_car","sv","kabinbana"
"aerialway","cable_car","tr","teleferik"
"aerialway","cable_car","uk","повітряний трамвай"
"aerialway","cable_car","vi","cáp treo"
"aerialway","cable_car","zh","往復式纜車"
"aerialway","cable_car","zh-hk","吊車"
"aerialway","chair_lift","ar","مصعد الكراسي"
"aerialway","chair_lift","bg","лифт"
"aerialway","chair_lift","ca","telecadira"
"aerialway","chair_lift","cs","sedačková lanová dráha"
"aerialway","chair_lift","da","stolelift"
"aerialway","chair_lift","de","sesselbahn"
"aerialway","chair_lift","el","αναβατήρας"
"aerialway","chair_lift","en","chairlift"
"aerialway","chair_lift","es","telesilla"
"aerialway","chair_lift","fa","تلهسییژ"
"aerialway","chair_lift","fr","télésiège"
"aerialway","chair_lift","id","lift kursi"
"aerialway","chair_lift","it","seggiovia"
"aerialway","chair_lift","ja","チェアリフト"
"aerialway","chair_lift","ko","체어리프트"
"aerialway","chair_lift","nb","stolheis"
"aerialway","chair_lift","nl","stoeltjeslift"
"aerialway","chair_lift","pl","wyciąg krzesełkowy"
"aerialway","chair_lift","ro","telescaun"
"aerialway","chair_lift","ru","кресельный подъёмник"
"aerialway","chair_lift","sl","sedežnica"
"aerialway","chair_lift","sv","stollift"
"aerialway","chair_lift","tr","telesiyej"
"aerialway","chair_lift","zh","吊椅式索道"
"aerialway","gondola","ar","غندول (مصعد)"
"aerialway","gondola","ca","telecabina"
"aerialway","gondola","da","gondolbane"
"aerialway","gondola","de","gondelbahn"
"aerialway","gondola","en","gondola lift"
"aerialway","gondola","es","telecabina"
"aerialway","gondola","fa","تلهکابین"
"aerialway","gondola","fi","gondolihissi"
"aerialway","gondola","fr","télécabine"
"aerialway","gondola","he","מעלית גונדולה"
"aerialway","gondola","hr","gondola"
"aerialway","gondola","hu","gondolalift"
"aerialway","gondola","id","kereta gantung gondola"
"aerialway","gondola","it","cabinovia"
"aerialway","gondola","ja","ゴンドラリフト"
"aerialway","gondola","ko","곤돌라 리프트"
"aerialway","gondola","nb","gondolbane"
"aerialway","gondola","nl","gondel"
"aerialway","gondola","pl","kolej gondolowa"
"aerialway","gondola","ru","гондольная канатная дорога"
"aerialway","gondola","sl","nihalka"
"aerialway","gondola","sv","gondolbana"
"aerialway","gondola","tr","gondol"
"aerialway","gondola","zh","吊厢式索道"
"aerialway","goods","cs","nákladní lanová dráha"
"aerialway","goods","de","materialseilbahn"
"aerialway","goods","en","material ropeway"
"aerialway","goods","fr","téléphérique à matériaux"
"aerialway","goods","it","teleferica"
"aerialway","goods","ja","貨物索道"
"aerialway","goods","nl","goederenkabelbaan"
"aerialway","goods","sl","tovorna žičnica"
"aerialway","goods","sv","transportlinbana"
"aerialway","goods","uk","промислова канатна дорога"
"aerialway","goods","zh","貨物索道"
"aerialway","j-bar","en","j-bar lift"
"aerialway","j-bar","fr","téleski à perches"
"aerialway","j-bar","sv","j-krokslift"
"aerialway","magic_carpet","ca","catifa rodant"
"aerialway","magic_carpet","cs","magický koberec"
"aerialway","magic_carpet","en","magic carpet"
"aerialway","magic_carpet","fr","tapis roulant"
"aerialway","magic_carpet","sv","rullband (skidlift)"
"aerialway","mixed_lift","ca","telemix"
"aerialway","mixed_lift","de","kombibahn"
"aerialway","mixed_lift","en","hybrid lift"
"aerialway","mixed_lift","fr","téléporté avec sièges et cabines"
"aerialway","mixed_lift","ja","ハイブリッドリフト"
"aerialway","mixed_lift","pl","kolej krzesełkowo-kabinowa"
"aerialway","mixed_lift","sv","telemixlift"
"aerialway","platter","cs","poma"
"aerialway","platter","en","platter lift"
"aerialway","platter","fr","téléski à enrouleur"
"aerialway","platter","pl","wyciąg talerzykowy"
"aerialway","platter","sv","knapplift"
"aerialway","rope_tow","ca","telecorda"
"aerialway","rope_tow","cs","lanový lyžařský vlek"
"aerialway","rope_tow","de","seillift"
"aerialway","rope_tow","en","rope tow"
"aerialway","rope_tow","fr","téléski à câble bas"
"aerialway","rope_tow","it","manovia"
"aerialway","rope_tow","nb","skitrekk"
"aerialway","rope_tow","nl","touwlift"
"aerialway","rope_tow","pl","wyciąg bezpodporowy"
"aerialway","rope_tow","ru","бугельный подъёмник"
"aerialway","rope_tow","sv","replift"
"aerialway","rope_tow","uk","бугелний"
"aerialway","t-bar","cs","kotvový vlek"
"aerialway","t-bar","de","schlepplift"
"aerialway","t-bar","en","t-bar lift"
"aerialway","t-bar","fr","téleski à archet"
"aerialway","t-bar","pl","wyciąg orczykowy"
"aerialway","zip_line","ar","الانزلاق الحر"
"aerialway","zip_line","ca","tirolina"
"aerialway","zip_line","cs","zip line dráha"
"aerialway","zip_line","de","seilrutsche"
"aerialway","zip_line","de-ch","seilbrücke"
"aerialway","zip_line","en","zip-line"
"aerialway","zip_line","en-ca","zip-line"
"aerialway","zip_line","en-gb","zip-line"
"aerialway","zip_line","es","tirolesa"
"aerialway","zip_line","fa","بندسُره"
"aerialway","zip_line","fr","tyrolienne"
"aerialway","zip_line","he","גלישה זוויתית"
"aerialway","zip_line","hu","átcsúszópálya"
"aerialway","zip_line","id","luncur gantung"
"aerialway","zip_line","it","teleferica"
"aerialway","zip_line","ja","ジップライン"
"aerialway","zip_line","ko","집라인"
"aerialway","zip_line","nb","løypestreng"
"aerialway","zip_line","nl","tokkelbaan"
"aerialway","zip_line","pl","tyrolka"
"aerialway","zip_line","pt","tirolesa"
"aerialway","zip_line","pt-br","tirolesa"
"aerialway","zip_line","ro","tiroliană"
"aerialway","zip_line","ru","зиплайн"
"aerialway","zip_line","sl","žična drča"
"aerialway","zip_line","sv","zipline"
"aerialway","zip_line","tr","ziplayn"
"aerialway","zip_line","uk","зіплайн"
"aerialway","zip_line","vi","zip line"
"aerialway","zip_line","zh","溜索"
"aerodrome:type","balloon_launch","en","balloonport"
"aerodrome:type","balloon_launch","fr","tour d'amarrage pour dirigeable ou montgolfière"
"aeroway","aerodrome","ar","مهبط"
"aeroway","aerodrome","be","аэрадром"
"aeroway","aerodrome","bg","летателна площадка"
"aeroway","aerodrome","ca","aeròdrom"
"aeroway","aerodrome","cs","aerodrom"
"aeroway","aerodrome","da","flyveplads"
"aeroway","aerodrome","de","flugplatz"
"aeroway","aerodrome","de-ch","flugplatz"
"aeroway","aerodrome","el","αεροδρόμιο"
"aeroway","aerodrome","en","aerodrome"
"aeroway","aerodrome","en-ca","aerodrome"
"aeroway","aerodrome","en-gb","aerodrome"
"aeroway","aerodrome","es","aeródromo"
"aeroway","aerodrome","et","lennuväli"
"aeroway","aerodrome","fa","پروازگاه"
"aeroway","aerodrome","fi","lentopaikka"
"aeroway","aerodrome","fr","aérodrome"
"aeroway","aerodrome","he","שדה תעופה"
"aeroway","aerodrome","hr","zračna luka"
"aeroway","aerodrome","hu","légikikötő"
"aeroway","aerodrome","id","lapangan terbang"
"aeroway","aerodrome","it","aerodromo"
"aeroway","aerodrome","ja","飛行場"
"aeroway","aerodrome","ko","비행장"
"aeroway","aerodrome","lt","aerodromas"
"aeroway","aerodrome","lv","lidlauks"
"aeroway","aerodrome","ms","aerodrom"
"aeroway","aerodrome","nb","flyplass"
"aeroway","aerodrome","nl","vliegveld"
"aeroway","aerodrome","pl","lotnisko"
"aeroway","aerodrome","pt","aeródromo"
"aeroway","aerodrome","pt-br","aeródromo"
"aeroway","aerodrome","ro","aerodrom"
"aeroway","aerodrome","ru","аэродром"
"aeroway","aerodrome","sl","letališče"
"aeroway","aerodrome","sv","aerodrom"
"aeroway","aerodrome","th","สนามบิน"
"aeroway","aerodrome","tr","havaalanı"
"aeroway","aerodrome","uk","аеродром"
"aeroway","aerodrome","ur","ايئرو ڈروم"
"aeroway","aerodrome","zh","飛行場"
"aeroway","aerodrome","zh-hk","飛行場"
"aeroway","aerodrome","zh-tw","飛行場"
"aeroway","apron","ar","موقف الطائرات"
"aeroway","apron","ca","plataforma d'estacionament"
"aeroway","apron","cs","stojánka"
"aeroway","apron","da","lufthavnsforplads"
"aeroway","apron","de","vorfeld"
"aeroway","apron","en","apron"
"aeroway","apron","es","plataforma"
"aeroway","apron","fa","رمپ"
"aeroway","apron","fi","asemataso"
"aeroway","apron","fr","aire de stationnement"
"aeroway","apron","he","רחבת חניה"
"aeroway","apron","hu","forgalmi előtér"
"aeroway","apron","id","pelataran pesawat"
"aeroway","apron","it","area di stazionamento"
"aeroway","apron","ja","エプロン"
"aeroway","apron","ko","에이프런"
"aeroway","apron","lv","perons"
"aeroway","apron","nb","oppstillingsplass"
"aeroway","apron","nl","platform"
"aeroway","apron","pl","płyta postojowa samolotów"
"aeroway","apron","pt","plataforma de estacionamento"
"aeroway","apron","ru","перрон"
"aeroway","apron","sl","ploščad"
"aeroway","apron","tr","apron"
"aeroway","apron","uk","перон"
"aeroway","apron","zh","機坪"
"aeroway","apron","zh-cn","机坪"
"aeroway","apron","zh-hk","機坪"
"aeroway","gate","ar","بوابة"
"aeroway","gate","ca","porta d'embarcament"
"aeroway","gate","cs","odletová brána"
"aeroway","gate","de","flugsteig"
"aeroway","gate","en","gate"
"aeroway","gate","fa","دروازه"
"aeroway","gate","fr","porte d'embarquement"
"aeroway","gate","he","שער עלייה למטוס"
"aeroway","gate","hu","kapu"
"aeroway","gate","id","gerbang"
"aeroway","gate","it","gate aeroportuale"
"aeroway","gate","ja","搭乗ゲート"
"aeroway","gate","ko","게이트"
"aeroway","gate","ms","pintu (lapangan terbang)"
"aeroway","gate","nb","gate"
"aeroway","gate","nl","gate"
"aeroway","gate","ru","выход"
"aeroway","gate","sl","vhod za vkrcanje"
"aeroway","gate","uk","вихід"
"aeroway","gate","zh","登機閘口"
"aeroway","gate","zh-cn","登机口"
"aeroway","hangar","ar","حظيرة طائرات"
"aeroway","hangar","bg","хангар"
"aeroway","hangar","ca","hangar"
"aeroway","hangar","cs","hangár"
"aeroway","hangar","da","hangar"
