"name","language","label"
"internet_access:ssid","en","service set"
"internet_access:ssid","es","ssid"
"internet_access:ssid","et","ssid"
"internet_access:ssid","fi","ssid"
"internet_access:ssid","fr","service set identifier"
"internet_access:ssid","id","service set identifier"
"internet_access:ssid","it","ssid"
"internet_access:ssid","ja","サービスセット識別子"
"internet_access:ssid","ko","서비스 세트 식별자"
"internet_access:ssid","nl","service set identifier"
"internet_access:ssid","pl","ssid"
"internet_access:ssid","pt","ssid"
"internet_access:ssid","ru","ssid"
"internet_access:ssid","uk","ssid"
"internet_access:ssid","zh","服务集标识符"
"internet_access:ssid","zh-hk","服務集標識符"
"level","ar","رقم الطابق"
"level","be","паверх"
"level","ca","pis"
"level","cs","patro"
"level","da","etage"
"level","de","stockwerk"
"level","el","αριθμός ορόφου"
"level","en","floor number"
"level","es","número de piso"
"level","fi","kerrosnumero"
"level","fr","numéro d'étage"
"level","he","מספר קומה"
"level","hu","emelet"
"level","id","lantai"
"level","it","numero del piano"
"level","ja","階数"
"level","ko","층 번호"
"level","lt","aukštas"
"level","lv","stāva numurs"
"level","nb","etasjenummer"
"level","nl","etagenummer"
"level","pl","numer piętra"
"level","pt","número do andar"
"level","pt-br","número do andar"
"level","ru","этаж"
"level","sl","številka nadstropja"
"level","sv","våningsnummer"
"level","tr","kat numarası"
"level","uk","номер поверху"
"level","zh-tw","樓層號碼"
"opening_hours","ar","مفتوح في أيام"
"opening_hours","be","дні працы"
"opening_hours","bg","работно време"
"opening_hours","ca","dies oberts"
"opening_hours","cs","otevírací doba"
"opening_hours","da","åbnet på"
"opening_hours","de","geöffnet an/am"
"opening_hours","el","ημέρες λειτουργίας"
"opening_hours","en","open days"
"opening_hours","en-gb","open days"
"opening_hours","es","días abiertos"
"opening_hours","et","lahtiolekuajad"
"opening_hours","fa","روزهای باز"
"opening_hours","fi","avoinna"
"opening_hours","fr","jours d'ouverture"
"opening_hours","he","פתוח בימים"
"opening_hours","hi","खुलने का समय"
"opening_hours","hr","radno vrijeme"
"opening_hours","hu","nyitvatartás"
"opening_hours","id","hari buka"
"opening_hours","it","giorni di apertura"
"opening_hours","ja","営業日"
"opening_hours","ko","개관 요일"
"opening_hours","lt","darbo valandos"
"opening_hours","lv","darba laiks"
"opening_hours","mr","उघडण्याची वेळ"
"opening_hours","ms","hari buka"
"opening_hours","nb","åpningsdager"
"opening_hours","nl","geopend op"
"opening_hours","pl","otwarte w dniach"
"opening_hours","pt","dias de abertura"
"opening_hours","pt-br","hora de abertura"
"opening_hours","ro","zile deschis"
"opening_hours","ru","дни работы"
"opening_hours","sk","otvárací čas"
"opening_hours","sl","odpiralni dnevi"
"opening_hours","sv","öppetdagar"
"opening_hours","ta","தொடக்க நேரம்"
"opening_hours","th","เวลาให้บริการ"
"opening_hours","tr","açık olduğu günler"
"opening_hours","uk","дні роботи"
"opening_hours","ur","ابتدائی گھنٹے"
"opening_hours","vi","ngày mở cửa trong tuần"
"opening_hours:covid19","ar","مفتوح في أيام (COVID19)"
"opening_hours:covid19","be","дні працы (COVID19)"
"opening_hours:covid19","bg","работно време (COVID19)"
"opening_hours:covid19","ca","dies oberts (COVID19)"
"opening_hours:covid19","cs","otevírací doba (COVID19)"
"opening_hours:covid19","da","åbnet på (COVID19)"
"opening_hours:covid19","de","geöffnet an/am (COVID19)"
"opening_hours:covid19","el","ημέρες λειτουργίας (COVID19)"
"opening_hours:covid19","en","open days (COVID19)"
"opening_hours:covid19","en-gb","open days (COVID19)"
"opening_hours:covid19","es","días abiertos (COVID19)"
"opening_hours:covid19","et","lahtiolekuajad (COVID19)"
"opening_hours:covid19","fa","روزهای باز (COVID19)"
"opening_hours:covid19","fi","avoinna (COVID19)"
"opening_hours:covid19","fr","jours d'ouverture (COVID19)"
"opening_hours:covid19","he","פתוח בימים (COVID19)"
"opening_hours:covid19","hi","खुलने का समय (COVID19)"
"opening_hours:covid19","hr","radno vrijeme (COVID19)"
"opening_hours:covid19","hu","nyitvatartás (COVID19)"
"opening_hours:covid19","id","hari buka (COVID19)"
"opening_hours:covid19","it","giorni di apertura (COVID19)"
"opening_hours:covid19","ja","営業日 (COVID19)"
"opening_hours:covid19","ko","개관 요일 (COVID19)"
"opening_hours:covid19","lt","darbo valandos (COVID19)"
"opening_hours:covid19","lv","darba laiks (COVID19)"
"opening_hours:covid19","mr","उघडण्याची वेळ (COVID19)"
"opening_hours:covid19","ms","hari buka (COVID19)"
"opening_hours:covid19","nb","åpningsdager (COVID19)"
"opening_hours:covid19","nl","geopend op (COVID19)"
"opening_hours:covid19","pl","otwarte w dniach (COVID19)"
"opening_hours:covid19","pt","dias de abertura (COVID19)"
"opening_hours:covid19","pt-br","hora de abertura (COVID19)"
"opening_hours:covid19","ro","zile deschis (COVID19)"
"opening_hours:covid19","ru","дни работы (COVID19)"
"opening_hours:covid19","sk","otvárací čas (COVID19)"
"opening_hours:covid19","sl","odpiralni dnevi (COVID19)"
"opening_hours:covid19","sv","öppetdagar (COVID19)"
"opening_hours:covid19","ta","தொடக்க நேரம் (COVID19)"
"opening_hours:covid19","th","เวลาให้บริการ (COVID19)"
"opening_hours:covid19","tr","açık olduğu günler (COVID19)"
"opening_hours:covid19","uk","дні роботи (COVID19)"
"opening_hours:covid19","ur","ابتدائی گھنٹے (COVID19)"
"opening_hours:covid19","vi","ngày mở cửa trong tuần (COVID19)"
"organic","cs","bioprodukt"
"organic","de","bioprodukt"
"organic","en","organic product"
"organic","fi","orgaaninen tuote"
"organic","id","produk organik"
"organic","it","prodotto organico"
"organic","ja","有機農産物"
"organic","pt-br","produto natural"
"organic","sl","organski izdelek"
"organic","sv","ekologiska produkter"
"organic","zh","有機產品"
"outdoor_seating","de","sitzplätze im freien"
"outdoor_seating","en","outdoor seating"
"outdoor_seating","pt","assentos ao ar livre"
"payment","cs","forma úhrady"
"payment","el","μέθοδος πληρωμής"
"payment","en","payment method"
"payment","es","método de pago"
"payment","fi","maksutapa"
"payment","hu","fizetőeszköz"
"payment","it","metodo di pagamento"
"payment","ja","支払方法"
"payment","ms","kaedah pembayaran"
"payment","nl","betaalwijze"
"payment","pt","método de pagamento"
"payment","sl","način plačila"
"payment","vi","phương thức thanh toán"
"payment","zh","支付方式"
"payment:LINE_Pay","en","line pay"
"payment:LINE_Pay","ja","line pay"
"payment:LINE_Pay","ko","라인페이"
"payment:LINE_Pay","zh","line pay"
"payment:OV-Chipkaart","de","ov-chipkaart"
"payment:OV-Chipkaart","en","ov-chipkaart"
"payment:OV-Chipkaart","fr","ov-chipkaart"
"payment:OV-Chipkaart","hu","ov-chipkaart"
"payment:OV-Chipkaart","id","ov-chipkaart"
"payment:OV-Chipkaart","it","ov-chipkaart saldo"
"payment:OV-Chipkaart","ja","ovチップカード"
"payment:OV-Chipkaart","nl","ov-chipkaart"
"payment:OV-Chipkaart","pl","ov-chipkaart"
"payment:OV-Chipkaart","zh","ov晶片卡"
"payment:alipay","ar","أليباي"
"payment:alipay","ca","alipay"
"payment:alipay","de","alipay"
"payment:alipay","en","alipay"
"payment:alipay","es","alipay"
"payment:alipay","fa","علی پی (سکو پرداخت)"
"payment:alipay","fr","alipay"
"payment:alipay","he","alipay"
"payment:alipay","id","alipay"
"payment:alipay","it","alipay"
"payment:alipay","ja","支付宝"
"payment:alipay","ko","알리페이"
"payment:alipay","lt","alipay"
"payment:alipay","ml","അലിപേ"
"payment:alipay","ms","alipay"
"payment:alipay","nl","alipay"
"payment:alipay","pl","alipay"
"payment:alipay","pt","alipay"
"payment:alipay","ru","alipay"
"payment:alipay","sv","alipay"
"payment:alipay","tr","alipay"
"payment:alipay","uk","alipay"
"payment:alipay","ur","علی پے"
"payment:alipay","vi","alipay"
"payment:alipay","zh","支付宝"
"payment:alipay","zh-cn","支付宝"
"payment:alipay","zh-hk","支付寶"
"payment:alipay","zh-tw","支付寶"
"payment:american_express","de","american express"
"payment:american_express","en","american express credit card"
"payment:american_express","es","tarjeta de crédito american express"
"payment:american_express","fr","carte de crédit american express"
"payment:american_express","ja","american expressクレジットカード"
"payment:american_express","ko","american express 신용카드"
"payment:american_express","nl","american express-creditcard"
"payment:american_express","sl","kreditna kartica american express"
"payment:apple_pay","ar","أبل باي"
"payment:apple_pay","be","apple pay"
"payment:apple_pay","ca","apple pay"
"payment:apple_pay","cs","apple pay"
"payment:apple_pay","da","apple pay"
"payment:apple_pay","de","apple pay"
"payment:apple_pay","en","apple pay"
"payment:apple_pay","en-ca","apple pay"
"payment:apple_pay","es","apple pay"
"payment:apple_pay","et","apple pay"
"payment:apple_pay","fa","اپل پی"
"payment:apple_pay","fi","apple pay"
"payment:apple_pay","fr","apple pay"
"payment:apple_pay","he","אפל פיי"
"payment:apple_pay","hu","apple pay"
"payment:apple_pay","id","apple pay"
"payment:apple_pay","it","apple pay"
"payment:apple_pay","ja","apple pay"
"payment:apple_pay","ko","애플 페이"
"payment:apple_pay","lt","apple pay"
"payment:apple_pay","ms","apple pay"
"payment:apple_pay","nb","apple pay"
"payment:apple_pay","nl","apple pay"
"payment:apple_pay","pl","apple pay"
"payment:apple_pay","pt","apple pay"
"payment:apple_pay","ru","apple pay"
"payment:apple_pay","sk","apple pay"
"payment:apple_pay","sl","apple pay"
"payment:apple_pay","sv","apple pay"
"payment:apple_pay","th","แอปเปิลเพย์"
"payment:apple_pay","tr","apple pay"
"payment:apple_pay","uk","apple pay"
"payment:apple_pay","vi","apple pay"
"payment:apple_pay","zh","apple pay"
"payment:apple_pay","zh-cn","apple pay"
"payment:apple_pay","zh-hk","apple pay"
"payment:apple_pay","zh-tw","apple pay"
"payment:bancomat","de","bancomat"
"payment:bancomat","en","bancomat"
"payment:bancomat","es","bancomat"
"payment:bancomat","fr","bancomat"
"payment:bancomat","it","bancomat"
"payment:bankaxept","en","bankaxept"
"payment:bankaxept","nb","bankaxept"
"payment:bankaxept","sl","bankaxept"
"payment:bankaxept","sv","bankaxept"
"payment:bitcoin","af","bitcoin"
"payment:bitcoin","ar","بيتكوين"
"payment:bitcoin","be","bitcoin"
"payment:bitcoin","bg","биткойн"
"payment:bitcoin","ca","bitcoin"
"payment:bitcoin","cs","bitcoin"
"payment:bitcoin","da","bitcoin"
"payment:bitcoin","de","bitcoin"
"payment:bitcoin","de-ch","bitcoin"
"payment:bitcoin","el","bitcoin"
"payment:bitcoin","en","bitcoin"
"payment:bitcoin","en-ca","bitcoin"
"payment:bitcoin","en-gb","bitcoin"
"payment:bitcoin","es","bitcoin"
"payment:bitcoin","et","bitcoin"
"payment:bitcoin","fa","بیتکوین"
"payment:bitcoin","fi","bitcoin"
"payment:bitcoin","fr","bitcoin"
"payment:bitcoin","he","ביטקוין"
"payment:bitcoin","hi","बिटकाइन"
"payment:bitcoin","hr","bitcoin"
"payment:bitcoin","hu","bitcoin"
"payment:bitcoin","id","bitcoin"
"payment:bitcoin","it","bitcoin"
"payment:bitcoin","ja","ビットコイン"
"payment:bitcoin","kn","ಬಿಟ್ಕಾಯಿನ್"
"payment:bitcoin","ko","비트코인"
"payment:bitcoin","lt","bitcoin"
"payment:bitcoin","lv","bitcoin"
"payment:bitcoin","ml","ബിറ്റ്കോയിന്"
"payment:bitcoin","mr","बिटकॉईन"
"payment:bitcoin","ms","bitcoin"
"payment:bitcoin","nb","bitcoin"
"payment:bitcoin","nl","bitcoin"
"payment:bitcoin","pl","bitcoin"
"payment:bitcoin","pt","bitcoin"
"payment:bitcoin","pt-br","bitcoin"
"payment:bitcoin","ro","bitcoin"
"payment:bitcoin","ru","биткойн"
"payment:bitcoin","sk","bitcoin"
"payment:bitcoin","sl","bitcoin"
"payment:bitcoin","sv","bitcoin"
"payment:bitcoin","ta","பிட்காயின்"
"payment:bitcoin","th","บิตคอยน์"
"payment:bitcoin","tr","bitcoin"
"payment:bitcoin","uk","біткоїн"
"payment:bitcoin","ur","تثم سکّہ"
